current_round,target_number,recent_5_count,recent_10_count,recent_20_count,total_count,rounds_since_last_seen,is_odd,number_group,label
21,1,2,2,3,3,1,1,1,0
21,2,0,0,1,2,19,0,1,0
21,3,0,1,3,3,9,1,1,0
21,4,1,2,2,2,4,0,1,0
21,5,1,2,4,4,3,1,1,0
21,6,1,1,5,5,4,0,1,0
21,7,0,0,3,3,12,1,1,1
21,8,3,3,4,5,1,0,1,0
21,9,1,2,2,2,5,1,1,0
21,10,1,2,3,3,4,0,1,0
21,11,2,3,4,4,1,1,2,0
21,12,0,0,0,0,22,0,2,1
21,13,0,0,2,2,13,1,2,0
21,14,0,1,4,4,8,0,2,0
21,15,1,2,6,7,5,1,2,0
21,16,0,2,2,3,6,0,2,0
21,17,1,2,3,3,2,1,2,0
21,18,1,3,6,7,2,0,2,0
21,19,1,1,3,3,1,1,2,0
21,20,0,0,0,0,22,0,2,1
21,21,0,2,2,2,8,1,3,0
21,22,0,0,2,2,16,0,3,0
21,23,0,0,2,2,11,1,3,0
21,24,1,1,3,3,5,0,3,0
21,25,1,2,5,5,3,1,3,0
21,26,1,3,3,3,5,0,3,0
21,27,0,0,1,1,18,1,3,0
21,28,1,1,3,3,1,0,3,0
21,29,0,0,0,0,22,1,3,0
21,30,2,4,6,6,1,0,3,0
21,31,0,0,0,0,22,1,4,0
21,32,0,1,1,1,7,0,4,0
21,33,1,1,2,2,5,1,4,1
21,34,0,0,0,0,22,0,4,0
21,35,1,3,5,5,2,1,4,0
21,36,1,2,4,4,2,0,4,0
21,37,0,1,2,2,8,1,4,0
21,38,1,2,4,4,5,0,4,0
21,39,1,1,4,4,3,1,4,0
21,40,0,0,1,1,14,0,4,0
21,41,1,1,1,2,4,1,5,1
21,42,0,1,2,2,7,0,5,0
21,43,1,1,1,1,3,1,5,0
21,44,0,1,2,2,9,0,5,0
21,45,1,3,4,4,3,1,5,1
22,1,2,2,3,3,2,1,1,0
22,2,0,0,1,2,20,0,1,0
22,3,0,1,3,3,10,1,1,0
22,4,1,2,2,2,5,0,1,0
22,5,1,2,4,4,4,1,1,0
22,6,1,1,4,5,5,0,1,0
22,7,1,1,3,4,1,1,1,0
22,8,3,3,4,5,2,0,1,0
22,9,0,2,2,2,6,1,1,0
22,10,1,2,3,3,5,0,1,1
22,11,2,2,4,4,2,1,2,1
22,12,1,1,1,1,1,0,2,0
22,13,0,0,2,2,14,1,2,1
22,14,0,1,4,4,9,0,2,0
22,15,0,2,6,7,6,1,2,0
22,16,0,1,2,3,7,0,2,0
22,17,1,2,3,3,3,1,2,0
22,18,1,2,6,7,3,0,2,0
22,19,1,1,3,3,2,1,2,0
22,20,1,1,1,1,1,0,2,0
22,21,0,2,2,2,9,1,3,0
22,22,0,0,2,2,17,0,3,0
22,23,0,0,2,2,12,1,3,0
22,24,0,1,3,3,6,0,3,1
22,25,1,1,5,5,4,1,3,0
22,26,0,3,3,3,6,0,3,0
22,27,0,0,1,1,19,1,3,0
22,28,1,1,2,3,2,0,3,0
22,29,0,0,0,0,23,1,3,0
22,30,2,3,6,6,2,0,3,0
22,31,0,0,0,0,23,1,4,0
22,32,0,1,1,1,8,0,4,0
22,33,1,2,3,3,1,1,4,0
22,34,0,0,0,0,23,0,4,0
22,35,1,2,4,5,3,1,4,1
22,36,1,2,4,4,3,0,4,0
22,37,0,1,2,2,9,1,4,0
22,38,0,2,3,4,6,0,4,0
22,39,1,1,4,4,4,1,4,1
22,40,0,0,1,1,15,0,4,0
22,41,2,2,2,3,1,1,5,0
22,42,0,1,2,2,8,0,5,0
22,43,1,1,1,1,4,1,5,0
22,44,0,1,1,2,10,0,5,0
22,45,2,4,5,5,1,1,5,0
23,1,2,2,3,3,3,1,1,1
23,2,0,0,0,2,21,0,1,1
23,3,0,0,3,3,11,1,1,0
23,4,0,1,2,2,6,0,1,0
23,5,1,2,4,4,5,1,1,0
23,6,0,1,3,5,6,0,1,0
23,7,1,1,3,4,2,1,1,0
23,8,2,3,4,5,3,0,1,1
23,9,0,2,2,2,7,1,1,0
23,10,1,3,4,4,1,0,1,0
23,11,2,3,5,5,1,1,2,0
23,12,1,1,1,1,2,0,2,0
23,13,1,1,3,3,1,1,2,0
23,14,0,1,3,4,10,0,2,0
23,15,0,1,5,7,7,1,2,0
23,16,0,1,2,3,8,0,2,0
23,17,1,2,3,3,4,1,2,0
23,18,1,2,6,7,4,0,2,0
23,19,1,1,3,3,3,1,2,0
23,20,1,1,1,1,2,0,2,0
23,21,0,1,2,2,10,1,3,1
23,22,0,0,2,2,18,0,3,0
23,23,0,0,2,2,13,1,3,0
23,24,1,2,4,4,1,0,3,0
23,25,1,1,5,5,5,1,3,0
23,26,0,3,3,3,7,0,3,0
23,27,0,0,1,1,20,1,3,0
23,28,1,1,2,3,3,0,3,0
23,29,0,0,0,0,24,1,3,0
23,30,2,3,6,6,3,0,3,0
23,31,0,0,0,0,24,1,4,0
23,32,0,1,1,1,9,0,4,1
23,33,1,2,2,3,2,1,4,0
23,34,0,0,0,0,24,0,4,0
23,35,2,3,5,6,1,1,4,0
23,36,1,2,4,4,4,0,4,0
23,37,0,1,2,2,10,1,4,0
23,38,0,2,3,4,7,0,4,0
23,39,2,2,4,5,1,1,4,1
23,40,0,0,1,1,16,0,4,0
23,41,1,2,2,3,2,1,5,0
23,42,0,1,2,2,9,0,5,0
23,43,1,1,1,1,5,1,5,0
23,44,0,0,1,2,11,0,5,0
23,45,2,3,5,5,2,1,5,0
24,1,3,3,4,4,1,1,1,0
24,2,1,1,1,3,1,0,1,0
24,3,0,0,3,3,12,1,1,0
24,4,0,1,2,2,7,0,1,1
24,5,0,1,4,4,6,1,1,0
24,6,0,1,3,5,7,0,1,1
24,7,1,1,3,4,3,1,1,0
24,8,3,4,5,6,1,0,1,0
24,9,0,2,2,2,8,1,1,0
24,10,1,3,4,4,2,0,1,0
24,11,2,3,5,5,2,1,2,0
24,12,1,1,1,1,3,0,2,0
24,13,1,1,2,3,2,1,2,0
24,14,0,0,3,4,11,0,2,0
24,15,0,1,4,7,8,1,2,0
24,16,0,1,2,3,9,0,2,1
24,17,1,2,3,3,5,1,2,0
24,18,1,1,6,7,5,0,2,0
24,19,1,1,3,3,4,1,2,0
24,20,1,1,1,1,3,0,2,1
24,21,1,1,3,3,1,1,3,0
24,22,0,0,2,2,19,0,3,0
24,23,0,0,2,2,14,1,3,0
24,24,1,2,4,4,2,0,3,0
24,25,0,1,5,5,6,1,3,0
24,26,0,2,3,3,8,0,3,0
24,27,0,0,0,1,21,1,3,0
24,28,1,1,2,3,4,0,3,0
24,29,0,0,0,0,25,1,3,0
24,30,1,3,6,6,4,0,3,0
24,31,0,0,0,0,25,1,4,0
24,32,1,2,2,2,1,0,4,0
24,33,1,2,2,3,3,1,4,0
24,34,0,0,0,0,25,0,4,0
24,35,2,3,4,6,2,1,4,0
24,36,1,2,3,4,5,0,4,0
24,37,0,0,2,2,11,1,4,1
24,38,0,2,3,4,8,0,4,0
24,39,2,3,5,6,1,1,4,0
24,40,0,0,1,1,17,0,4,0
24,41,1,2,2,3,3,1,5,0
24,42,0,1,1,2,10,0,5,0
24,43,0,1,1,1,6,1,5,0
24,44,0,0,1,2,12,0,5,1
24,45,1,3,5,5,3,1,5,0
25,1,2,3,3,4,2,1,1,0
25,2,1,1,1,3,2,0,1,0
25,3,0,0,3,3,13,1,1,0
25,4,1,2,3,3,1,0,1,0
25,5,0,1,4,4,7,1,1,1
25,6,1,2,4,6,1,0,1,0
25,7,1,1,3,4,4,1,1,0
25,8,2,4,5,6,2,0,1,0
25,9,0,2,2,2,9,1,1,1
25,10,1,2,4,4,3,0,1,0
25,11,2,3,4,5,3,1,2,0
25,12,1,1,1,1,4,0,2,0
25,13,1,1,2,3,3,1,2,0
25,14,0,0,3,4,12,0,2,0
25,15,0,1,4,7,9,1,2,0
25,16,1,2,3,4,1,0,2,0
25,17,0,2,3,3,6,1,2,0
25,18,0,1,5,7,6,0,2,0
25,19,1,1,3,3,5,1,2,0
25,20,2,2,2,2,1,0,2,0
25,21,1,1,3,3,2,1,3,0
25,22,0,0,1,2,20,0,3,0
25,23,0,0,2,2,15,1,3,0
25,24,1,2,4,4,3,0,3,0
25,25,0,1,5,5,7,1,3,0
25,26,0,1,3,3,9,0,3,0
25,27,0,0,0,1,22,1,3,0
25,28,1,1,1,3,5,0,3,0
25,29,0,0,0,0,26,1,3,0
25,30,1,2,6,6,5,0,3,0
25,31,0,0,0,0,26,1,4,1
25,32,1,1,2,2,2,0,4,1
25,33,1,2,2,3,4,1,4,0
25,34,0,0,0,0,26,0,4,0
25,35,1,3,4,6,3,1,4,1
25,36,0,2,3,4,6,0,4,0
25,37,1,1,3,3,1,1,4,0
25,38,0,2,2,4,9,0,4,0
25,39,2,3,5,6,2,1,4,0
25,40,0,0,1,1,18,0,4,0
25,41,1,2,2,3,4,1,5,0
25,42,0,0,1,2,11,0,5,1
25,43,0,1,1,1,7,1,5,0
25,44,1,1,2,3,1,0,5,0
25,45,1,2,5,5,4,1,5,0
26,1,1,3,3,4,3,1,1,0
26,2,1,1,1,3,3,0,1,0
26,3,0,0,3,3,14,1,1,0
26,4,1,2,3,3,2,0,1,0
26,5,1,2,5,5,1,1,1,0
26,6,1,2,3,6,2,0,1,0
26,7,1,1,2,4,5,1,1,0
26,8,1,4,5,6,3,0,1,0
26,9,1,2,3,3,1,1,1,0
26,10,1,2,3,4,4,0,1,0
26,11,1,3,4,5,4,1,2,1
26,12,1,1,1,1,5,0,2,0
26,13,1,1,2,3,4,1,2,0
26,14,0,0,2,4,13,0,2,1
26,15,0,1,4,7,10,1,2,0
26,16,1,1,3,4,2,0,2,0
26,17,0,1,3,3,7,1,2,1
26,18,0,1,5,7,7,0,2,0
26,19,0,1,3,3,6,1,2,0
26,20,2,2,2,2,2,0,2,0
26,21,1,1,3,3,3,1,3,0
26,22,0,0,0,2,21,0,3,0
