round,n1,n2,n3,n4,n5,n6,bonus
1,2,8,15,16,18,41,11
2,6,7,28,35,38,44,3
3,2,6,14,15,33,39,3
4,13,15,27,35,36,42,32
5,1,11,18,22,28,38,21
6,6,7,10,14,22,25,9
7,3,17,23,30,39,45,40
8,6,8,19,25,36,40,28
9,3,5,13,15,19,37,8
10,7,15,18,24,25,30,12
11,5,14,18,23,24,39,12
12,11,16,18,25,30,35,42
13,3,4,15,21,44,45,25
14,5,14,18,21,26,37,16
15,10,26,30,32,42,45,18
16,9,16,17,35,36,38,31
17,9,15,24,26,33,38,37
18,4,6,8,10,11,41,33
19,5,25,30,39,43,45,37
20,1,8,17,18,35,36,26
21,1,8,11,19,28,30,21
22,7,12,20,33,41,45,37
23,10,11,13,24,35,39,40
24,1,2,8,21,32,39,28
25,4,6,16,20,37,44,8
26,5,9,31,32,35,42,41
27,11,14,17,28,34,39,41
28,13,20,24,26,29,45,39
29,5,8,15,16,22,29,2
30,1,15,36,38,43,45,6
31,3,4,5,15,22,41,8
32,14,16,18,32,33,35,9
33,16,27,31,37,43,45,13
34,7,23,28,42,43,45,30
35,4,7,30,42,43,44,28
36,7,13,16,22,35,42,33
37,9,12,16,18,28,30,5
38,1,4,7,29,35,36,9
39,11,14,16,27,31,32,30
40,1,4,11,17,25,43,35
41,10,13,19,28,32,36,22
42,4,14,21,35,38,44,5
43,4,11,31,33,34,38,5
44,5,6,12,33,39,42,19
45,8,16,26,37,38,39,3
46,6,27,34,37,38,40,22
47,14,16,17,21,43,45,30
48,9,20,21,30,42,43,5
49,1,5,7,30,37,40,41
50,5,9,14,17,23,33,20
51,11,19,20,24,29,35,40
52,1,7,9,20,36,43,21
53,7,8,10,18,19,36,45
54,14,17,22,33,41,45,36
55,4,6,17,18,28,41,3
56,1,9,11,17,22,41,34
57,1,5,8,28,36,45,13
58,3,10,24,35,36,38,31
59,3,9,20,23,24,44,16
60,7,16,23,36,43,44,30
61,10,11,12,16,27,40,2
62,11,12,16,18,22,27,7
63,3,13,15,25,30,31,27
64,2,13,15,20,26,44,27
65,5,18,23,26,33,45,40
66,2,8,12,17,22,38,21
67,3,7,21,23,28,39,33
